2025-10-21 01:42:25 startup archives unpack
2025-10-21 01:42:25 install adduser:all <none> 3.152
2025-10-21 01:42:25 status half-installed adduser:all 3.152
2025-10-21 01:42:25 status unpacked adduser:all 3.152
2025-10-21 01:42:25 startup packages configure
2025-10-21 01:42:25 configure adduser:all 3.152 <none>
2025-10-21 01:42:25 status unpacked adduser:all 3.152
2025-10-21 01:42:25 status half-configured adduser:all 3.152
2025-10-21 01:42:25 status installed adduser:all 3.152
2025-10-21 01:42:25 startup archives unpack
2025-10-21 01:42:25 install netbase:all <none> 6.5
2025-10-21 01:42:25 status half-installed netbase:all 6.5
2025-10-21 01:42:25 status unpacked netbase:all 6.5
2025-10-21 01:42:25 install readline-common:all <none> 8.2-6
2025-10-21 01:42:25 status half-installed readline-common:all 8.2-6
2025-10-21 01:42:25 status unpacked readline-common:all 8.2-6
2025-10-21 01:42:25 install openssl:amd64 <none> 3.5.1-1+deb13u1
2025-10-21 01:42:25 status half-installed openssl:amd64 3.5.1-1+deb13u1
2025-10-21 01:42:25 status unpacked openssl:amd64 3.5.1-1+deb13u1
2025-10-21 01:42:25 install ca-certificates:all <none> 20250419
2025-10-21 01:42:25 status half-installed ca-certificates:all 20250419
2025-10-21 01:42:25 status unpacked ca-certificates:all 20250419
2025-10-21 01:42:25 install libunistring5:amd64 <none> 1.3-2
2025-10-21 01:42:25 status triggers-pending libc-bin:amd64 2.41-12
2025-10-21 01:42:25 status half-installed libunistring5:amd64 1.3-2
2025-10-21 01:42:25 status unpacked libunistring5:amd64 1.3-2
2025-10-21 01:42:25 install libidn2-0:amd64 <none> 2.3.8-2
2025-10-21 01:42:25 status half-installed libidn2-0:amd64 2.3.8-2
2025-10-21 01:42:25 status unpacked libidn2-0:amd64 2.3.8-2
2025-10-21 01:42:25 install libffi8:amd64 <none> 3.4.8-2
2025-10-21 01:42:25 status half-installed libffi8:amd64 3.4.8-2
2025-10-21 01:42:25 status unpacked libffi8:amd64 3.4.8-2
2025-10-21 01:42:25 install libp11-kit0:amd64 <none> 0.25.5-3
2025-10-21 01:42:25 status half-installed libp11-kit0:amd64 0.25.5-3
2025-10-21 01:42:25 status unpacked libp11-kit0:amd64 0.25.5-3
2025-10-21 01:42:25 install libtasn1-6:amd64 <none> 4.20.0-2
2025-10-21 01:42:25 status half-installed libtasn1-6:amd64 4.20.0-2
2025-10-21 01:42:25 status unpacked libtasn1-6:amd64 4.20.0-2
2025-10-21 01:42:25 install libgnutls30t64:amd64 <none> 3.8.9-3
2025-10-21 01:42:25 status half-installed libgnutls30t64:amd64 3.8.9-3
2025-10-21 01:42:25 status unpacked libgnutls30t64:amd64 3.8.9-3
2025-10-21 01:42:25 install libpsl5t64:amd64 <none> 0.21.2-1.1+b1
2025-10-21 01:42:25 status half-installed libpsl5t64:amd64 0.21.2-1.1+b1
2025-10-21 01:42:25 status unpacked libpsl5t64:amd64 0.21.2-1.1+b1
2025-10-21 01:42:25 install wget:amd64 <none> 1.25.0-2
2025-10-21 01:42:25 status half-installed wget:amd64 1.25.0-2
2025-10-21 01:42:26 status unpacked wget:amd64 1.25.0-2
2025-10-21 01:42:26 install libbrotli1:amd64 <none> 1.1.0-2+b7
2025-10-21 01:42:26 status half-installed libbrotli1:amd64 1.1.0-2+b7
